CustomerId,Balance,NumOfProducts,HasCrCard,Tenure,IsActiveMember,Exited,BalanceINR
15634602,€0.0,1,Yes,2,Yes,1,0
15634602,€0.0,1,Yes,2,Yes,1,0
15647311,€83807.86,1,Yes,1,Yes,0,7542707.4
15619304,€159660.8,3,No,8,No,1,14369472
15701354,€0.0,2,No,1,No,0,0
15737888,€125510.82,1,Yes,2,Yes,0,11295973.8
15574012,€113755.78,2,No,8,No,1,10238020.2
15592531,€0.0,2,Yes,7,Yes,0,0
15656148,€115046.74,4,No,4,No,1,10354206.6
15792365,€142051.07,2,Yes,4,Yes,0,12784596.3
15592389,€134603.88,1,Yes,2,Yes,0,12114349.2
15767821,€102016.72,2,No,6,No,0,9181504.8
15737173,€0.0,2,No,3,No,0,0
15632264,€0.0,2,No,10,No,0,0
15691483,€0.0,2,No,5,No,0,0
15600882,€0.0,2,Yes,7,Yes,0,0
15643966,€143129.41,2,Yes,3,Yes,0,12881646.9
15737452,€132602.88,1,No,1,No,1,11934259.2
15788218,€0.0,2,Yes,9,Yes,0,0
15661507,€0.0,1,No,6,No,0,0
15568982,€0.0,2,Yes,6,Yes,0,0
15577657,€0.0,2,Yes,8,Yes,0,0
15597945,€0.0,2,No,8,No,0,0
15699309,€0.0,1,No,4,No,1,0
15725737,€0.0,2,Yes,3,Yes,0,0
15625047,€0.0,1,Yes,5,Yes,0,0
15738191,€0.0,2,Yes,3,Yes,0,0
15736816,€136815.64,1,Yes,2,Yes,0,12313407.6
15700772,€0.0,2,No,9,No,0,0
15728693,€141349.43,1,Yes,3,Yes,0,12721448.7
15656300,€59697.17,2,Yes,0,Yes,0,5372745.3
15589475,€0.0,3,No,3,No,1,0
15706552,€85311.7,1,Yes,7,Yes,0,7678053
15750181,€110112.54,2,No,9,No,0,9910128.6
15659428,€0.0,2,Yes,6,Yes,0,0
15732963,€0.0,2,Yes,9,Yes,0,0
15794171,€134264.04,1,No,0,No,1,12083763.6
15788448,€145260.23,1,Yes,3,Yes,0,13073420.7
15729599,€76548.6,1,Yes,7,Yes,0,6889374
15717426,€0.0,1,Yes,7,Yes,0,0
15585768,€70349.48,2,Yes,6,Yes,0,6331453.2
15619360,€0.0,1,No,4,No,0,0
15738148,€122522.32,1,No,8,No,1,11027008.8
15687946,€117419.35,1,Yes,2,Yes,0,10567741.5
15755196,€131394.56,1,No,2,No,1,11825510.4
15684171,€155931.11,1,Yes,5,Yes,0,14033799.9
15754849,€109421.13,2,Yes,4,Yes,0,9847901.7
15602280,€112045.67,1,Yes,9,Yes,1,10084110.3
15771573,€137843.8,1,Yes,9,Yes,1,12405942
15766205,€103391.38,1,Yes,2,Yes,0,9305224.2
15771873,€103769.22,2,No,2,No,0,9339229.8
15616550,€116363.37,2,No,10,No,0,10472703.3
15768193,€146050.97,2,No,5,No,0,13144587.3
15683553,€0.0,2,No,5,No,0,0
15702298,€125561.97,1,No,8,No,1,11300577.3
15569590,€98495.72,1,No,1,No,1,8864614.8
15760861,€125211.92,1,Yes,1,Yes,0,11269072.8
15630053,€127864.4,1,No,5,No,0,11507796
15647091,€75888.2,1,No,0,No,0,6829938
15623944,€0.0,1,No,4,No,1,0
15804771,€40685.92,1,Yes,4,Yes,0,3661732.8
15651280,€136857.0,1,No,5,No,0,12317130
15773469,€152328.88,2,No,9,No,0,13709599.2
15702014,€56084.69,2,No,1,No,0,5047622.1
15751208,€78707.16,1,Yes,8,Yes,0,7083644.4
15592461,€109166.37,1,Yes,4,Yes,0,9824973.3
15789484,€169831.46,2,Yes,6,Yes,0,15284831.4
15696061,€101633.04,1,No,1,No,0,9146973.6
15641582,€123180.01,2,Yes,10,Yes,0,11086200.9
15638424,€150725.53,2,Yes,5,Yes,0,13565297.7
15755648,€98373.26,1,No,8,No,0,8853593.4
15703793,€133745.44,4,No,2,No,1,12037089.6
15620344,€0.0,1,No,6,No,0,0
15812518,€163607.18,1,Yes,0,Yes,0,14724646.2
15779052,€157780.84,2,Yes,5,Yes,0,14200275.6
15770811,€0.0,2,Yes,9,Yes,0,0
15780961,€178718.19,2,No,1,No,0,16084637.1
15614049,€0.0,2,Yes,8,Yes,0,0
15662085,€0.0,1,Yes,9,Yes,0,0
15575185,€77253.22,1,Yes,5,Yes,0,6952789.8
15803136,€122189.66,2,No,10,No,0,10997069.4
15706021,€96645.54,2,No,1,No,0,8698098.6
15663706,€0.0,1,No,2,No,1,0
15641732,€0.0,2,No,3,No,0,0
15701164,€90307.62,1,Yes,4,Yes,0,8127685.8
15738751,€0.0,2,No,4,No,0,0
15805254,€0.0,2,Yes,10,Yes,0,0
15762418,€121681.82,1,No,3,No,1,10951363.8
15625759,€0.0,2,No,9,No,0,0
15622897,€0.0,3,No,4,No,1,0
15767954,€81623.67,2,Yes,3,Yes,0,7346130.3
15757535,€0.0,3,Yes,5,Yes,1,0
15731511,€118626.55,2,No,7,No,0,10676389.5
15809248,€0.0,2,No,10,No,0,0
15640635,€0.0,2,Yes,8,Yes,0,0
15676966,€0.0,2,Yes,4,Yes,0,0
15699461,€176273.95,1,Yes,10,Yes,0,15864655.5
15738721,€102827.44,1,Yes,9,Yes,0,9254469.6
15693683,€97086.4,2,Yes,8,Yes,0,8737776
15604348,€0.0,2,No,8,No,0,0
15633059,€0.0,2,No,9,No,0,0
15808582,€0.0,1,Yes,6,Yes,0,0
15743192,€0.0,2,No,6,No,0,0
15580146,€82674.15,1,No,9,No,0,7440673.5
15776605,€0.0,2,No,7,No,0,0
15804919,€0.0,1,Yes,1,Yes,1,0
15613854,€107073.27,2,Yes,4,Yes,1,9636594.3
15599195,€88938.62,1,Yes,1,Yes,0,8004475.8
15812878,€99806.85,1,Yes,2,Yes,0,8982616.5
15602312,€150092.8,1,No,5,No,0,13508352
15744689,€92833.89,1,No,9,No,1,8355050.1
15803526,€90536.81,1,Yes,3,Yes,0,8148312.9
15665790,€108055.1,2,No,7,No,0,9724959
15715951,€100238.35,1,No,2,No,0,9021451.5
15591100,€106190.55,1,Yes,9,Yes,0,9557149.5
15609618,€154475.54,2,Yes,9,Yes,1,13902798.6
15675522,€132351.29,2,Yes,9,Yes,0,11911616.1
15705512,€167864.4,1,No,6,No,0,15107796
15698028,€0.0,2,No,1,No,0,0
15661670,€107818.63,1,No,8,No,1,9703676.7
15600781,€185173.81,2,No,4,No,0,16665642.9
15682472,€129433.34,2,No,8,No,0,11649000.6
15580203,€120193.42,1,No,6,No,0,10817407.8
15690673,€0.0,2,No,6,No,0,0
15760085,€126384.42,1,Yes,10,Yes,0,11374597.8
15779659,€0.0,1,No,3,No,0,0
15627360,€152603.45,1,No,9,No,1,13734310.5
15671137,€0.0,1,Yes,1,Yes,1,0
15782688,€148507.24,1,No,0,No,1,13365651.6
15575492,€0.0,2,No,7,No,0,0
15591607,€101827.07,1,No,9,No,0,9164436.3
15740404,€0.0,2,Yes,3,Yes,0,0
15718369,€130862.43,1,Yes,9,Yes,0,11777618.7
15677871,€122570.87,1,Yes,9,Yes,0,11031378.3
15642004,€0.0,2,Yes,1,Yes,0,0
15712543,€124828.46,2,Yes,7,Yes,0,11234561.4
15584518,€144895.05,2,Yes,5,Yes,0,13040554.5
15802381,€63663.93,1,Yes,5,Yes,0,5729753.7
15610156,€133463.1,1,Yes,2,Yes,0,12011679
15594408,€213146.2,1,No,2,No,1,19183158
15640905,€129490.36,2,Yes,1,Yes,1,11654132.4
15698932,€137452.09,1,No,10,No,0,12370688.1
15724944,€0.0,2,Yes,7,Yes,0,0
15628145,€125851.93,1,Yes,5,Yes,0,11326673.7
15713483,€0.0,1,No,2,No,1,0
15612350,€40915.55,1,No,5,No,1,3682399.5
15800703,€113157.22,1,Yes,5,Yes,0,10184149.8
15705707,€138296.94,2,No,8,No,0,12446724.6
15754105,€106967.18,1,No,5,No,0,9627046.2
15703264,€120681.63,1,No,9,No,0,10861346.7
15794413,€0.0,2,Yes,0,Yes,0,0
15650237,€0.0,2,No,7,No,0,0
15759618,€0.0,1,No,9,No,1,0
15811589,€0.0,2,No,8,No,0,0
15689044,€127609.59,1,No,2,No,0,11484863.1
15709368,€0.0,2,Yes,6,Yes,0,0
15679145,€0.0,1,No,7,No,1,0
15655007,€0.0,2,No,7,No,0,0
15623595,€0.0,2,Yes,2,Yes,0,0
15589975,€97259.25,1,Yes,6,Yes,0,8753332.5
15804017,€123246.7,1,No,4,No,0,11092203
15692132,€101060.25,1,Yes,6,Yes,0,9095422.5
15641122,€0.0,2,No,2,No,0,0
15630910,€108007.36,1,No,7,No,0,9720662.4
15680772,€0.0,2,Yes,2,Yes,0,0
15658929,€133702.89,1,No,0,No,1,12033260.1
15585388,€125189.75,2,Yes,9,Yes,0,11267077.5
15724623,€113034.22,1,No,7,No,1,10173079.8
15588537,€109013.23,1,No,9,No,0,9811190.7
15574692,€0.0,2,No,2,No,1,0
15611325,€57929.81,2,No,9,No,0,5213682.9
15587562,€130114.39,1,No,4,No,0,11710295.1
15613172,€95826.49,2,No,5,No,0,8624384.1
